# 2022.06.16
# 42Ca energy levels from NNDC
# Energy in keV
       E            Jπ  StateN  Doubt
  9947.0            -1      -1     -1
 10000.0          (4)-       1      1
 10035.6       (5-:9-)       1      1
 10038.0            -1      -1     -1
 10160.0            -1      -1     -1
 10168.7      (10,12+)       1      1
 10205.0            -1      -1     -1
 10231.0            -1      -1     -1
 10282.0            1-       1      1
 10314.0            -1      -1     -1
 10358.0            1-       1      1
 10389.0            -1      -1     -1
 10450.0          (5)-       1      1
 10453.0            -1      -1     -1
 10500.0            1-       1      1
 10510.0            -1      -1     -1
 10527.0            -1      -1     -1
 10561.0            -1      -1     -1
 10588.0            -1      -1     -1
 10610.0            -1      -1     -1
 10612.0            -1      -1     -1
 10633.0            -1      -1     -1
 10652.0            -1      -1     -1
 10673.0            1-       3      0
 10700.0            -1      -1     -1
 10726.0            1-       4      0
 10783.0            1-       5      0
 10805.0            1-       6      0
 10842.0            1-       7      0
 10884.0            1-       8      0
 10905.0            1-       9      0
 10916.0            1-      10      0
 10968.0            -1      -1     -1
 10970.0            3-      21      0
 10985.0            -1      -1     -1
 11013.0            1-      11      0
 11048.0            -1      -1     -1
 11076.0            1-      12      0
 11108.0            1-      13      0
 11149.0            1-      14      0
 11165.7       (10,12)       1      1
 11185.0            1-      15      0
 11223.0            1-      16      0
 11235.0          (1+)       1      1
 11279.0            -1      -1     -1
 11303.7            -1      -1     -1
 11309.5            -1      -1     -1
 11319.3            -1      -1     -1
 11326.1            -1      -1     -1
 11331.0            -1      -1     -1
 11335.9            1-      17      0
 11343.7            -1      -1     -1
 11361.3        (1,2+)       1      1
 11363.2            -1      -1     -1
 11380.8            1-      18      0
 11398.4            -1      -1     -1
 11401.3            -1      -1     -1
 11405.1         (12+)       1      1
 11409.1            -1      -1     -1
 11412.0            -1      -1     -1
 11416.9            -1      -1     -1
 11426.0            -1      -1     -1
 11429.6    (0+,1-,2+)       1      1
 11432.3            -1      -1     -1
 11436.1       (1-,2+)       1      1
 11439.7            1-      19      0
 11440.0         3-,4-       2      0
 11445.6            -1      -1     -1
 11447.7    (0+,1-,2+)       1      1
 11449.0            -1      -1     -1
 11450.5            -1      -1     -1
 11453.1            -1      -1     -1
 11464.7            -1      -1     -1
 11468.1            -1      -1     -1
 11469.3       (1-,2+)       1      1
 11473.5       (1-,2+)       1      1
 11475.8            -1      -1     -1
 11477.7            -1      -1     -1
 11480.6         3-,4-       3      0
 11481.8            -1      -1     -1
 11485.2          (2+)       1      1
 11486.9            -1      -1     -1
 11488.7            1-      20      0
 11490.4            -1      -1     -1
 11493.6            -1      -1     -1
 11495.4            -1      -1     -1
 11499.0            -1      -1     -1
 11500.2            -1      -1     -1
 11503.7            -1      -1     -1
 11507.1    (0+,1-,2+)       1      1
 11508.8            -1      -1     -1
 11510.3          (1-)       1      1
 11512.5            -1      -1     -1
 11514.4            -1      -1     -1
 11516.6          (1-)       1      1
 11519.5            -1      -1     -1
 11523.3       (1-,2+)       1      1
 11525.4            -1      -1     -1
 11527.4       (1-,2+)       1      1
 11529.3    (0+,1-,2+)       1      1
 11530.7            -1      -1     -1
 11532.6            -1      -1     -1
 11537.1            -1      -1     -1
 11540.0          (1-)       1      1
 11542.3    (0+,1-,2+)       1      1
 11543.6            -1      -1     -1
 11544.4            1-      21      0
 11550.0    (0+,1-,2+)       1      1
 11551.5            -1      -1     -1
 11555.4          (1-)       1      1
 11556.3            -1      -1     -1
 11558.1            -1      -1     -1
 11562.8            -1      -1     -1
 11569.2            1-      22      0
 11571.7    (0+,1-,2+)       1      1
 11572.8    (1-,3-,4+)       1      1
 11575.2       (3-,4+)       1      1
 11576.2            -1      -1     -1
 11589.8          (1-)       1      1
 11591.1            -1      -1     -1
 11592.6            -1      -1     -1
 11594.6            -1      -1     -1
 11596.7            1-      23      0
 11599.4       (1-,2+)       1      1
 11601.8            1-      24      0
 11603.5            -1      -1     -1
 11612.5            1-      25      0
 11614.0            -1      -1     -1
 11616.0            1-      26      0
 11621.0       (1-,2+)       1      1
 11632.8            -1      -1     -1
 11634.5       (1-,2+)       1      1
 11636.1       (1-,2+)       1      1
 11637.4       (1-,2+)       1      1
 11639.4            1-      27      0
 11641.1            -1      -1     -1
 11643.5            -1      -1     -1
 11644.1       (1-,2+)       1      1
 11646.2          (4+)       1      1
 11651.2       (1-,2+)       1      1
 11653.4            -1      -1     -1
 11654.2          (1-)       1      1
 11656.8          (1-)       1      1
 11658.0            -1      -1     -1
 11662.2       (1-,2+)       1      1
 11664.9            -1      -1     -1
 11670.9            2+      14      0
 11674.0       (1-,2+)       1      1
 11680.0            -1      -1     -1
 11685.0            -1      -1     -1
 11689.2       (1-,2+)       1      1
 11693.0       (1-,2+)       1      1
 11695.0          (3-)       1      1
 11697.3            -1      -1     -1
 11699.7            -1      -1     -1
 11707.5            2+      15      0
 11709.2       (1-,2+)       1      1
 11710.1            -1      -1     -1
 11718.3            -1      -1     -1
 11725.7       (8-:11)       1      1
 11727.1            2+      16      0
 11728.2            -1      -1     -1
 11729.3            -1      -1     -1
 11733.0            -1      -1     -1
 11737.4    (0+,1-,2+)       1      1
 11738.4            1-      28      0
 11743.4       (1-,2+)       1      1
 11748.0            -1      -1     -1
 11752.3            -1      -1     -1
 11756.6          (1-)       1      1
 11758.0            -1      -1     -1
 11760.0            -1      -1     -1
 11763.0            -1      -1     -1
 11768.0            -1      -1     -1
 11772.7       (1-,2+)       1      1
 11775.0       (1-,2+)       1      1
 11777.2            -1      -1     -1
 11778.5    (0+,1-,2+)       1      1
 11783.0       (1-,2+)       1      1
 11784.7       (1-),2+       1      1
 11786.1            -1      -1     -1
 11787.5            -1      -1     -1
 11789.8            -1      -1     -1
 11792.0            -1      -1     -1
 11795.2       (1-,2+)       1      1
 11798.3       (1-,2+)       1      1
 11805.4       (1-,2+)       1      1
 11809.7       (1-,2+)       1      1
 11811.1       (1-,2+)       1      1
 11814.0            -1      -1     -1
 11818.0            -1      -1     -1
 11821.1            -1      -1     -1
 11822.4          (1-)       1      1
 11824.0       (1-,2+)       1      1
 11829.0       (1-,2+)       1      1
 11830.2          (2+)       1      1
 11831.8            -1      -1     -1
 11836.4          (4+)       1      1
 11843.3       (1-,2+)       1      1
 11844.9       (1-,2+)       1      1
 11846.8            -1      -1     -1
 11850.0            -1      -1     -1
 11852.6            1-      29      0
 11856.4            -1      -1     -1
 11865.6    (0+,1-,2+)       1      1
 11868.0       (1-,2+)       1      1
 11871.5       (1-,2+)       1      1
 11872.8            -1      -1     -1
 11873.7       (1-,2+)       1      1
 11881.0            -1      -1     -1
 11885.2    (1-,2+,3-)       1      1
 11887.0            -1      -1     -1
 11895.3       (1-,2+)       1      1
 11902.0       (1-,2+)       1      1
 11906.3       (1-,3-)       1      1
 11910.6       (1-,2+)       1      1
 11916.0            -1      -1     -1
 11921.0            -1      -1     -1
 11923.3       (1-,2+)       1      1
 11925.6       (1-,2+)       1      1
 11929.0            -1      -1     -1
 11933.1       (1-,2+)       1      1
 11937.0            -1      -1     -1
 11941.9            2+      17      0
 11944.4            1-      30      0
 11950.1            -1      -1     -1
 11953.0            -1      -1     -1
 11959.2          (1-)       1      1
 11962.8       (1-,2+)       1      1
 11967.0            -1      -1     -1
 11970.2            1-      31      0
 11976.8          (2+)       1      1
 11980.3            1-      32      0
 11989.0       (2+,3-)       1      1
 11992.1       (1-,2+)       1      1
 12000.2            2+      18      0
 12005.0       (1-,2+)       1      1
 12006.3            -1      -1     -1
 12012.0          (2+)       1      1
 12013.6            -1      -1     -1
 12020.4       (1-,2+)       1      1
 12029.5    (0+,1-,2+)       1      1
 12032.5          (3-)       1      1
 12039.8            1-      33      0
 12041.8            -1      -1     -1
 12042.8            -1      -1     -1
 12050.9       (1-,2+)       1      1
 12052.0            -1      -1     -1
 12061.8            -1      -1     -1
 12066.2       (1-,2+)       1      1
 12070.1          (2+)       1      1
 12071.4            -1      -1     -1
 12082.8            -1      -1     -1
 12085.2            -1      -1     -1
 12091.9            -1      -1     -1
 12099.0            -1      -1     -1
 12101.3            1-      34      0
 12105.1            -1      -1     -1
 12109.0            -1      -1     -1
 12112.2            1-      35      0
 12116.5          (2+)       1      1
 12123.8       (1-,2+)       1      1
 12127.6            -1      -1     -1
 12130.0            -1      -1     -1
 12135.2            -1      -1     -1
 12137.9            -1      -1     -1
 12142.0            -1      -1     -1
 12144.7            -1      -1     -1
 12146.8            -1      -1     -1
 12148.5            -1      -1     -1
 12153.7            2+      19      0
 12156.0            -1      -1     -1
 12158.6            1-      36      0
 12160.0            -1      -1     -1
 12163.1            1-      37      0
 12168.0          (1-)       1      1
 12172.0        (1,2+)       1      1
 12175.7            1-      38      0
 12180.0            -1      -1     -1
 12182.8            1-      39      0
 12185.0            -1      -1     -1
 12187.7            -1      -1     -1
 12198.0            -1      -1     -1
 12198.1            -1      -1     -1
 12203.0       (1-,3-)       1      1
